t	x	v	state	E_total
53.1	6.6376	2.66925	1	5.82743
53.2	6.9433	3.31656	1	5.85416
53.3	7.18332	1.24076	1	5.35271
53.4	7.32922	1.34813	1	5.1011
53.5	7.49806	2.05833	1	5.25545
53.6	7.73632	2.52592	1	4.83815
53.7	8.00201	2.9058	1	4.27204
53.8	8.18049	0.708853	1	4.76355
53.9	8.10745	-1.96618	1	4.61915
54	7.86531	-2.12709	1	3.10408
54.1	7.65697	-1.60046	1	3.42466
54.2	7.54952	-0.91614	1	3.23518
54.3	7.46351	-0.76002	1	3.64188
54.4	7.38997	-0.671266	1	4.03799
54.5	7.37997	0.30751	1	3.92244
54.6	7.42942	0.685428	1	3.80102
54.7	7.51777	1.18682	1	3.71821
54.8	7.6676	1.92944	1	3.93888
54.9	7.876	2.57932	1	4.10146
55	8.09725	1.18064	1	3.12822
55.1	8.0761	-1.53971	1	3.0878
55.2	7.86875	-1.89191	1	2.60995
55.3	7.70715	-1.17938	1	2.52575
55.4	7.6412	-0.159035	1	2.25516
55.5	7.64324	0.358323	1	2.29394
55.6	7.73519	1.13288	1	2.29677
55.7	7.88058	1.73911	1	2.25863
55.8	8.04118	0.99497	1	1.52458
55.9	7.98478	-1.9786	1	2.05254
56	7.79714	-1.56573	1	2.49363
56.1	7.71032	-0.314841	1	1.86006
56.2	7.70544	0.0330572	1	1.84154
56.3	7.74255	1.13178	1	2.24953
56.4	7.87915	1.57185	1	1.99068
56.5	8.05311	1.48872	1	2.43579
56.6	8.07288	-1.14066	1	2.47258
56.7	7.92251	-1.01188	1	0.996255
56.8	7.88616	0.276129	1	0.749636
56.9	7.96598	1.10918	1	0.827763
57	8.04579	-0.30619	1	1.19153
57.1	7.93649	-1.17658	1	1.08909
57.2	7.8312	-0.651635	1	1.26734
57.3	7.82641	0.407024	1	1.16776
57.4	7.88002	0.879722	1	1.13683
57.5	7.98299	1.40731	1	1.09656
57.6	8.04728	-0.662456	1	1.40151
57.7	7.88477	-1.72609	1	2.2099
57.8	7.75087	-0.910293	1	1.9714
57.9	7.69388	-0.444423	1	2.01201
58	7.68508	-0.16885	1	1.98251
58.1	7.69253	0.295444	1	1.96535
58.2	7.74588	1.01416	1	2.1025
58.3	7.8915	1.68685	1	2.10083
58.4	8.05099	0.811628	1	1.60409
58.5	8.02155	-1.44142	1	1.57771
58.6	7.86541	-1.16325	1	1.51778
58.7	7.78073	-0.429726	1	1.4628
58.8	7.78597	0.569513	1	1.49985
58.9	7.83934	0.661527	1	1.22293
59	7.91999	0.894312	1	0.899969
59.1	8.03394	0.967995	1	1.31697
59.2	8.00746	-1.54725	1	1.38344
59.3	7.87706	-0.861243	1	1.13927
59.4	7.84996	0.275947	1	0.975812
59.5	7.91496	0.940253	1	0.973554
59.6	8.04077	1.22201	1	1.76591
59.7	8.02809	-1.40864	1	1.69435
59.8	7.87577	-1.26022	1	1.57051
59.9	7.75227	-0.884177	1	1.93923
60	7.68639	-0.5817	1	2.12923
60.1	7.66483	0.103109	1	2.10013
60.2	7.68493	0.339951	1	2.02694
60.3	7.75604	1.16798	1	2.20682
60.4	7.88961	1.66683	1	2.07909
60.5	8.05251	0.612013	1	1.49991
60.6	7.97474	-2.02271	1	2.20357
60.7	7.77679	-1.79181	1	3.00038
60.8	7.62813	-0.800246	1	2.64439
60.9	7.59025	0.0883246	1	2.56486
61	7.62065	0.385272	1	2.44517
61.1	7.66763	0.629027	1	2.27517
61.2	7.7677	1.35889	1	2.37514
61.3	7.93339	1.93805	1	2.29434
61.4	8.08482	0.412973	1	2.20576
61.5	8.00708	-2.12393	1	2.43248
61.6	7.8626	-0.899125	1	1.26297
61.7	7.80138	-0.230672	1	1.26797
61.8	7.80052	0.408032	1	1.32998
61.9	7.86195	0.664977	1	1.08388
